Numero;Caso;Mes;Resolucion;Comunicación;Categoria;Subcategoria;Segmento;Equipo_Resolutor;Canal;Movimiento;Monto;Cliente;Productos_act;Sexo
1514;38802190;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;CAD;CAD;COM.SERV.CTA.NEG (800054394949);$ 8.264,46;Masivo;1;F
1515;38412591;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Prefer;3;F
1516;38898487;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;4;F
1517;38813403;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;2;F
1518;38478704;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA CLASSI;$ 3.719,01;Eminent;0;F
1519;38158909;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Baja;CCC;CCC;COM.SERV.CTA.TOT;$ 457,90;Prefer;1;F
1520;38224902;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;PATERNAL I;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Masivo;3;F
1521;38270060;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 4.090,92;Masivo;4;M
1522;38179196;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;?;SUC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Eminent;2;M
1523;38872537;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CAD;CARGO REPOSICION (4517699021544009);$ 719,01;Eminent;0;F
1524;38644742;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;AMERICANOS CERRO DE LAS ROSAS;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Eminent;1;F
1525;38737384;Agosto;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CAD2;CAD;COM.SERV.PREFER (800084596736);$ 1.839,49;Eminent;3;F
1526;38607778;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;HUMBERTO PRIMO;SUC;GASTOS DE SERVICIO EMI;$ 8.264,46;Prefer;4;M
1527;38749578;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 10.330,58;Prefer;2;M
1528;38417051;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;NECOCHEA;SUC;GASTOS DE SERVICIO EMINENT;$ 4.090,81;Masivo;0;F
1529;38622757;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;OLAVARRIA;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;M
1530;38624854;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;CCC;IMPUESTO DE SELLOS;$ 42,00;Masivo;3;F
1531;38543888;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CAD;COM.SERV.PREFER (800077381339);$ 3.099,18;Eminent;4;M
1532;38287032;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Negocios;2;M
1533;38847210;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;CAD;COM.SERV.PREFER (800047697915);$ 93,90;Prefer;0;M
1534;38455350;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
1535;38581924;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CHACABUCO;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;F
1536;38290423;Abril;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Cuentas;SUC;COM.SERV.CTA.NEG (800036156314);$ 8.181,82;Negocios;4;F
1537;38705687;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;CCC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Prefer;2;M
1538;38671245;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;COM.SERV.CLASSIC (800079270828);$ 4.958,68;Masivo;0;M
1539;38447516;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;CAD;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;1;F
1540;38635702;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CCC;COM.SERV.PREFER (800075427511);$ 2.479,34;Eminent;3;F
1541;38633791;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;PARQUE INDUSTRIAL PILAR;SUC;SERVICIO CUENTA PREFER;$ 3.057,85;Prefer;4;M
1542;38909882;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;CCC;COM RENOV ANUAL  1/3;$ 1.074,33;Prefer;2;M
1543;38696505;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;CAD;GASTOS DE SERVICIO EMINENT;$ 8.264,46;Prefer;0;M
1544;38226597;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Baja;AV. CORDOBA;SUC;COM.SERV.PREFER;$ 4.545,45;Masivo;1;M
1545;38641390;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;COM.SERV.PREFER (800074489406);$ 3.988,15;Prefer;3;F
1546;38670567;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;?;ONB;Com.serv.classic;$ 4.958,68;Masivo;4;F
1547;38828061;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CCC;CCC;SERVICIO CUENTA PREFER;$ 3.099,18;Eminent;2;F
1548;38230766;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
1549;38239769;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Baja;ARRECIFES;SUC;COM.SERV.PREFER;$ 743,80;Prefer;1;F
1550;38240498;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SAN MARTIN;SUC;COM.SERV.PREFER;$ 2.272,73;Masivo;3;F
1551;38471186;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;BOEDO;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;4;F
1552;38391217;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 8.181,82;Eminent;2;M
1553;38361956;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Empleados BGBA;Cuentas;CAD;IMPUESTO DE SELLOS;$ 1.234,31;Eminent;0;M
1554;38702600;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;1;F
1555;38390111;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;PYME Micro;BELGRANO;SUC;COM.SERV.CTA.NEG (800078934463);$ 8.181,82;Eminent;3;F
1556;38900217;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;VIEDMA;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;4;F
1557;38170145;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Baja;Cuentas;CCC;SERVICIO CUENTA CLASSIC;$ 3.719,01;Prefer;2;M
1558;38290996;Mayo;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;CCC;COM.SERV.EMINENT (800065382238);$ 4.090,81;Masivo;0;M
1559;38202679;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;LA PLATA;SUC;COM.SERV.CLASSIC;$ 3.719,01;Masivo;1;F
1560;38312268;Diciembre;Desfavorable al cliente;Sin Envío;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA CLASSI;$ 2.479,34;Masivo;3;M
1561;38676013;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;4;F
1562;38264647;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;SUC;INTERESES FINANCIACION;$ 7.501,38;Negocios;2;M
1563;38902650;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.CLASSIC (800020233543);$ 4.295,05;Prefer;0;M
1564;38902703;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.BANELCO EXT.F (4517690128746878);$ 1.404,96;Masivo;1;M
1565;38375899;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;FAMILIA GALICIA;Cuentas;SUC;INTERESES FINANCIACION;$ 42.834,76;Eminent;3;F
1566;38358414;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Boulevard Alberdi;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;4;F
1567;38385401;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Empleados BGBA;Cuentas;SUC;COMISION RENO.ANUAL(12;$ 11.209,00;Prefer;2;F
1568;38511694;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;?;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Masivo;0;M
1569;38486698;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Baja;CCC;CCC;COM.SERV.EMINENT (800051134954);$ 8.181,82;Eminent;1;M
1570;38879946;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;3;F
1571;38705028;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;COM.SERV.EMINENT (800062362244);$ 8.264,38;Prefer;4;F
1572;38306948;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;CASA MATRIZ;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;M
1573;38164338;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;SUC;COMISIÓN MANT DE CTA.;$ 448,00;Prefer;0;M
1574;38692470;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800066903762);$ 1.483,62;Masivo;1;M
1575;38761098;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;CCC;SERVICIO CUENTA CLASSI;$ 4.958,68;Prefer;3;M
1576;38162679;Septiembre;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Cuentas;CCC;COM.SERV.PREFER;$ 3.057,85;Masivo;4;F
1577;38349651;Agosto;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Alta;Cuentas;SUC;COMISION RENO.ANUAL(12;$ 14.282,00;Eminent;2;F
1578;38838267;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;LOMAS DE ZAMORA;SUC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;0;F
1579;38855916;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;BELGRANO NORTE;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Prefer;1;F
1580;38223502;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;JUMBO PALERMO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;F
1581;38191650;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;RIO TERCERO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;F
1582;38843381;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;ROSARIO;SUC;COM.SERV.PREFER (800083680301);$ 67,88;Eminent;2;F
1583;38839369;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;JUMBO PALERMO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;M
1584;38700397;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;1;M
1585;38813012;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CASA MATRIZ;SUC;COM.SERV.PREFER (800070016449);$ 4.545,45;Eminent;3;F
1586;38190253;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 8.181,82;Prefer;4;F
1587;38876722;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;F
1588;38713782;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Masivo;0;M
1589;38854118;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;CAD;COM.SERV.CTA.TOT (800080180721);$ 4.132,23;Masivo;1;M
1590;38272956;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;F
1591;38450987;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;NEUQUEN;SUC;SERVICIO CUENTA CLASSIC;$ 3.719,01;Eminent;4;M
1592;38520079;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;2;F
1593;38797210;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800045981608);$ 6.197,63;Prefer;0;M
1594;38622460;Mayo;Favorable al cliente;Sin Envío;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;CCC;COM.SERV.EMINENT (800084110159);$ 0,01;Masivo;1;M
1595;38696599;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;CAD;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Eminent;3;M
1596;38292397;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Baja;Cuentas;CCC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Negocios;4;F
1597;38471772;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;F
1598;38614203;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;0;F
1599;38818661;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;VILLA BALLESTER;SUC;COM.SERV.CTA.NEG (800036761021);$ 10.330,58;Eminent;1;M
1600;38804775;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;COM.SERV.CTA.NEG (800023155454);$ 6.198,35;Eminent;3;M
1601;38542737;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;NUEVA CORDOBA;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Prefer;4;F
1602;38708094;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;?;ONB;Com.serv.eminent;$ 2.024,25;Prefer;2;F
1603;38903360;Agosto;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CASA MATRIZ TORRE;SUC;INTERESES (Junio 2023);$ 445,95;Prefer;0;M
1604;38204446;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CDS Tribu Comex;CCC;DEB.COM. VARIAS;$ 5.464,89;Masivo;1;M
1605;38292552;Junio;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;SUC;COM.SERV.EMINENT (800076994779);$ 8.181,82;Prefer;3;M
1606;38486405;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;MENDOZA;SUC;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Masivo;4;M
1607;38240159;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;MERLO;SUC;COM.SERV.CTA.SIMP;$ 1.652,88;Eminent;2;F
1608;38909193;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;CCC;INTERESES FINANCIACION;$ 618,50;Eminent;0;F
1609;38323812;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;1;F
1610;38265486;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SALTA;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Masivo;3;F
1611;38859139;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD2;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;4;F
1612;38917780;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;COM.SERV.CTA.TOT (800054422675);$ 4.132,23;Eminent;2;F
1613;38679308;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;SGO. DEL ESTERO;SUC;COM.SERV.CTA.NEG (800037435901);$ 6.198,35;Eminent;0;F
1614;38763793;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMI;$ 5.165,16;Eminent;1;M
1615;38816999;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;MENDOZA;SUC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;3;M
1616;38665752;Junio;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Comisiones y Morosidad;CCC;COM.BANELCO O/BCO (4517690106854892);$ 867,78;Prefer;4;F
1617;38313070;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;2;F
1618;38640969;Febrero;Desfavorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;Comisiones y Morosidad;CCC;COM.BANELCO O/BCO (4517690133867651);$ 867,78;Masivo;0;F
1619;38329094;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CANNING;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;1;M
1620;38606432;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;MENDOZA;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Masivo;3;M
1621;38433395;Marzo;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Cuentas;SUC;INTERESES (Febrero 2023);$ 236,43;Eminent;4;F
1622;38706405;Febrero;Desfavorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Negocios;2;M
1623;38503566;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800071164794);$ 4.545,45;Prefer;0;F
1624;38748381;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;1;M
1625;38386418;Enero;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;SUC;COM. MANT. CC/CCE (Febrero 2023);$ 2.066,12;Eminent;3;M
1626;38231176;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;JARDIN BOTANICO;SUC;GASTOS DE SERVICIO EMI;$ 4.090,81;Negocios;4;M
1627;38283609;Noviembre;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Media Alta;Cuentas;SUC;COM.SERV.EMINENT (800018263201);$ 8.181,82;Prefer;2;F
1628;38540128;Septiembre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;SUC;COM RENOV ANUAL  2/3;$ 14.281,66;Masivo;0;F
1629;38785532;Agosto;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;COM.SERV.CLASSIC (800078079296);$ 1.716,02;Eminent;1;F
1630;38393104;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Alta;RIO CUARTO;SUC;GASTOS DE SERVICIO EMI;$ 4.090,81;Eminent;3;M
1631;38847425;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL(12;$ 15.812,68;Prefer;4;M
1632;38534818;Junio;Favorable al cliente;Sin Envío;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;SUC;COM.SERV.EMINENT (800020785562);$ 6.446,28;Prefer;2;F
1633;38361079;Octubre;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Media Alta;Cuentas;CCC;CARGOGESTCOBRANZA;$ 323,00;Prefer;0;F
1634;38909258;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;PERSONAS ANSES;Comisiones y Morosidad;CSEDB;COM.BANELCO O/BCO (4517690128691561);$ 264,09;Masivo;1;M
1635;38280724;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;3;M
1636;38364530;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;M
1637;38904483;Octubre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;CCC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;2;M
1638;38673505;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;USHUAIA;SUC;COM.SERV.EMINENT (800015748093);$ 8.264,46;Eminent;0;F
1639;38816863;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 4.132,23;Prefer;1;F
1640;38219744;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;ADROGUE;SUC;COM.SERV.CTA.NEG;$ 4.545,45;Masivo;3;F
1641;38285451;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;Cuentas;CCC;COM.SERV.CTA.NEG (800047535664);$ 8.181,82;Masivo;4;F
1642;38827396;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;Nordelta;SUC;COM.SERV.CTA.SIMP (800072911836);$ 2.479,34;Eminent;2;F
1643;38812379;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Alta;CALLAO Y ARENALES;SUC;COM.SERV.PREFER (800037393506);$ 6.198,35;Eminent;0;F
1644;38486203;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;1;F
1645;38599803;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;JARDIN BOTANICO;SUC;COM.SERV.CTA.NEG (800046075082);$ 6.198,35;Eminent;3;M
1646;38446306;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;AVENIDA SABATTINI;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Prefer;4;M
1647;38168325;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;F
1648;38168717;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;NAZCA;SUC;COM.SERV.CTA.TOT;$ 3.305,79;Masivo;0;F
1649;38280005;Julio;Desfavorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;Cuentas;CCC;COM.SERV.CTA.NEG (800057223010);$ 6.446,28;Masivo;1;F
1650;38423748;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;CCC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Masivo;3;M
